Trial_order	Subject	Subject_number	Trial_name	Trial_number	Error_code	Accuracy	RT	PrevRT	Leksikalnost	NoS	Viseznacnost	Frekvencija	Frekod	Rec	Duzina	SubjSpeed	SubjAccuracy	Brzina.ispitanika
14	s1	24	t1	1	C	1	872	581	word	1	malo	302	NF	[APAT	5	672.2513966	0.994444444	spori
178	s1	24	t2	2	C	1	541	470	word	1	malo	320	NF	MR@NJA	6	672.2513966	0.994444444	spori
61	s1	24	t3	3	C	1	721	681	word	1	malo	391	NF	CESTA	5	672.2513966	0.994444444	spori
55	s1	24	t4	4	C	1	570	530	word	1	malo	414	VF	^E@NJA	6	672.2513966	0.994444444	spori
69	s1	24	t5	5	C	1	581	541	word	1	malo	424	VF	GRANJE	6	672.2513966	0.994444444	spori
63	s1	24	t6	6	C	1	501	491	word	1	malo	448	VF	DE^AK	5	672.2513966	0.994444444	spori
62	s1	24	t7	7	C	1	491	721	word	1	malo	453	VF	APRIL	5	672.2513966	0.994444444	spori
76	s1	24	t8	8	C	1	501	541	word	1	malo	720	VF	OSMEH	5	672.2513966	0.994444444	spori
172	s1	24	t9	9	C	1	550	641	word	1	malo	786	VF	CVE]E	5	672.2513966	0.994444444	spori
122	s1	24	t10	10	C	1	591	821	word	1	malo	1085	VF	LI[]E	5	672.2513966	0.994444444	spori
97	s1	24	t11	11	C	1	631	651	word	2	malo	254	NF	EKIPA	5	672.2513966	0.994444444	spori
169	s1	24	t12	12	C	1	531	972	word	2	malo	272	NF	BA[TA	5	672.2513966	0.994444444	spori
42	s1	24	t13	13	C	1	691	961	word	2	malo	317	NF	RADIO	5	672.2513966	0.994444444	spori
83	s1	24	t14	14	C	1	541	691	word	2	malo	320	NF	PESAK	5	672.2513966	0.994444444	spori
19	s1	24	t15	15	C	1	591	701	word	2	malo	374	NF	USPEH	5	672.2513966	0.994444444	spori
56	s1	24	t16	16	C	1	791	570	word	2	malo	422	VF	USLOV	5	672.2513966	0.994444444	spori
152	s1	24	t17	17	C	1	511	471	word	2	malo	894	VF	DINAR	5	672.2513966	0.994444444	spori
36	s1	24	t18	18	C	1	701	651	word	2	malo	1052	VF	ODBOR	5	672.2513966	0.994444444	spori
155	s1	24	t19	19	C	1	711	621	word	2	malo	1209	VF	SENKA	5	672.2513966	0.994444444	spori
88	s1	24	t20	20	C	1	611	731	word	2	malo	1452	VF	VLADA	5	672.2513966	0.994444444	spori
127	s1	24	t21	21	C	1	591	971	word	3	malo	334	NF	SUTON	5	672.2513966	0.994444444	spori
68	s1	24	t22	22	C	1	541	761	word	3	malo	335	NF	PU[KA	5	672.2513966	0.994444444	spori
129	s1	24	t23	23	C	1	491	581	word	3	malo	335	NF	SELJAK	6	672.2513966	0.994444444	spori
50	s1	24	t24	24	C	1	570	590	word	3	malo	348	NF	SPRAT	5	672.2513966	0.994444444	spori
91	s1	24	t25	25	C	1	531	711	word	3	malo	414	VF	MINUT	5	672.2513966	0.994444444	spori
65	s1	24	t26	26	C	1	541	1012	word	3	malo	430	VF	VIDIK	5	672.2513966	0.994444444	spori
141	s1	24	t27	27	C	1	520	480	word	3	malo	631	VF	MAGLA	5	672.2513966	0.994444444	spori
148	s1	24	t28	28	C	1	510	550	word	3	malo	657	VF	MIRIS	5	672.2513966	0.994444444	spori
101	s1	24	t29	29	C	1	531	832	word	3	malo	1470	VF	TRAVA	5	672.2513966	0.994444444	spori
54	s1	24	t30	30	C	1	530	571	word	3	malo	1847	VF	ULICA	5	672.2513966	0.994444444	spori
77	s1	24	t31	31	C	1	501	501	word	4	srednje	278	NF	ZANOS	5	672.2513966	0.994444444	spori
132	s1	24	t32	32	C	1	551	521	word	4	srednje	280	NF	OBZIR	5	672.2513966	0.994444444	spori
98	s1	24	t33	33	C	1	531	631	word	4	srednje	295	NF	PA@NJA	6	672.2513966	0.994444444	spori
51	s1	24	t34	34	C	1	540	570	word	4	srednje	314	NF	SVEST	5	672.2513966	0.994444444	spori
165	s1	24	t35	35	C	1	571	731	word	4	srednje	328	NF	POTOK	5	672.2513966	0.994444444	spori
53	s1	24	t36	36	C	1	571	742	word	4	srednje	375	NF	ZVONO	5	672.2513966	0.994444444	spori
177	s1	24	t37	37	C	1	470	640	word	4	srednje	484	VF	POMO]	5	672.2513966	0.994444444	spori
149	s1	24	t38	38	C	1	471	510	word	4	srednje	831	VF	GRUDI	5	672.2513966	0.994444444	spori
58	s1	24	t39	39	C	1	521	551	word	4	srednje	1256	VF	GRANA	5	672.2513966	0.994444444	spori
128	s1	24	t40	40	C	1	581	591	word	4	srednje	2274	VF	VETAR	5	672.2513966	0.994444444	spori
114	s1	24	t41	41	C	1	621	551	word	5	srednje	262	NF	KOMAD	5	672.2513966	0.994444444	spori
23	s1	24	t42	42	C	1	661	811	word	5	srednje	270	NF	LOPTA	5	672.2513966	0.994444444	spori
117	s1	24	t43	43	C	1	561	681	word	5	srednje	281	NF	IGRA^	5	672.2513966	0.994444444	spori
147	s1	24	t44	44	C	1	550	811	word	5	srednje	409	VF	PRI^A	5	672.2513966	0.994444444	spori
