Participant	Trial_number	Trial_order	Error_code	RT	Word	len	fam	conc	freko	ort	N	H	Hrel	T	pp1	pp1_pp2
Participant_1	1	42	1	641	SILA	4	6.53	2.26	365	13	23	3.9866272	0.881302663	0.118697337	0.157142857	0.042857143
Participant_1	2	199	1	661	KLJU^	5	6.83	6.57	106	1	11	2.993383997	0.865282025	0.134717975	0.260869565	0.101449275
Participant_1	3	48	1	771	STOPA	5	5.94	4.52	379	6	8	2.615237284	0.871745761	0.128254239	0.264150943	0.018867925
Participant_1	4	197	1	681	POJAS	5	6.35	5.86	111	2	16	3.521572322	0.880393081	0.119606919	0.1875	0.03125
Participant_1	5	43	1	580	STEPEN	6	5.94	2.35	106	1	11	2.861359119	0.827118277	0.172881723	0.240740741	0
Participant_1	6	291	1	540	JEZIK	5	6.88	5.24	537	2	14	3.094741925	0.812832528	0.187167472	0.25	0.035714286
Participant_1	7	84	1	611	RA^UN	5	6.71	5.7	274	0	14	3.304751846	0.867991536	0.132008464	0.215384615	0
Participant_1	8	201	1	901	LINIJA	6	6.74	4.81	226	5	34	4.44771879	0.874250865	0.125749135	0.134020619	0.020618557
Participant_1	9	122	1	781	KRUNA	5	6.31	6.43	111	1	11	2.783599765	0.804640783	0.195359217	0.309090909	0.072727273
Participant_1	10	234	1	571	VATRA	5	6.74	6.24	719	2	18	3.781392736	0.906825119	0.093174881	0.134328358	0.014925373
Participant_1	11	124	1	661	KRUG	4	6.82	4.65	633	3	21	3.757215225	0.855406125	0.144593875	0.296296296	0.203703704
Participant_1	12	191	1	1052	PRUGA	5	6.22	6.67	457	1	9	2.533689841	0.799290153	0.200709847	0.395348837	0.186046512
Participant_1	13	76	1	640	SISTEM	6	6.42	2.35	254	0	24	4.049347252	0.883180015	0.116819985	0.136986301	0.02739726
Participant_1	14	249	1	982	ŽICA	4	6.33	6.62	396	10	14	3.433678532	0.90185407	0.09814593	0.178571429	0.017857143
Participant_1	15	107	1	671	MERA	4	5.72	2.83	381	18	14	3.289092559	0.863878631	0.136121369	0.244897959	0.06122449
Participant_1	16	241	1	551	OBLIK	5	6.18	4.05	309	4	13	2.968114123	0.802097683	0.197902317	0.411764706	0.294117647
Participant_1	17	83	1	841	VENAC	5	5.94	6.39	176	1	14	3.298519443	0.866354598	0.133645402	0.216666667	0.05
Participant_1	18	235	1	681	?AVO	4	6.42	2.43	62	2	23	4.088753516	0.90387919	0.09612081	0.140625	0.03125
Participant_1	19	138	1	651	^VOR	4	6.5	5.78	61	2	16	3.460495567	0.865123892	0.134876108	0.29787234	0.191489362
Participant_1	20	251	1	711	MATICA	6	5	4.43	42	8	9	2.779762843	0.876917543	0.123082457	0.31372549	0.156862745
Participant_1	21	65	1	611	LIST	4	6.65	6.65	652	7	11	2.985431707	0.862983298	0.137016702	0.26984127	0.063492063
Participant_1	22	208	1	1121	MASA	4	6.12	3.9	269	17	11	3.011683133	0.870571662	0.129428338	0.216666667	0.016666667
Participant_1	23	104	1	661	STAV	4	6.5	1.52	263	7	12	2.638291106	0.735932693	0.264067307	0.38	0.1
Participant_1	24	252	1	580	TA^KA	5	6.82	4.57	190	4	15	3.342002971	0.855412479	0.144587521	0.227272727	0.03030303
Participant_1	25	69	1	761	STRUK	5	6.22	6.04	101	2	8	2.370998236	0.790332745	0.209667255	0.473684211	0.315789474
Participant_1	26	231	1	921	PISAK	5	3.71	5.19	25	12	9	2.889097656	0.911408836	0.088591164	0.28125	0.09375
Participant_1	27	109	1	671	POSAO	5	6.88	3.48	999	5	8	2.748880254	0.916293418	0.083706582	0.229166667	0.041666667
Participant_1	28	268	1	791	VEZA	4	6.61	3.14	493	12	22	3.808853283	0.854111826	0.145888174	0.17721519	0.012658228
Participant_1	29	144	1	721	VISINA	6	6.71	4	408	3	17	3.524585534	0.862291762	0.137708238	0.245283019	0.113207547
Participant_1	30	319	1	601	GOVOR	5	6.74	4.33	403	2	17	3.326103864	0.813733114	0.186266886	0.215384615	0.015384615
Participant_1	31	152	1	742	CENTAR	6	6.82	3.7	396	1	17	3.648357975	0.892572756	0.107427244	0.171428571	0.057142857
Participant_1	32	202	1	661	MREŽA	5	6.47	5.81	328	2	25	4.097823642	0.882418291	0.117581709	0.1625	0.0375
Participant_1	33	126	1	701	PLO^A	5	6.53	6.48	168	2	17	3.3568706	0.821260212	0.178739788	0.271428571	0.1
