Ispitanik	Manipulacija	Rukost	Nacitanost	IQ	RT
s1	kontrolna grupa	levoruk	370	92	1648
s2	kontrolna grupa	levoruk	80	94	1370
s3	kontrolna grupa	levoruk	390	96	1663
s4	kontrolna grupa	levoruk	90	96	1396
s5	kontrolna grupa	levoruk	220	97	1521
s6	kontrolna grupa	levoruk	110	97	1409
s7	kontrolna grupa	levoruk	260	97	1540
s8	kontrolna grupa	levoruk	430	99	1706
s9	kontrolna grupa	levoruk	320	100	1609
s10	kontrolna grupa	levoruk	340	100	1627
s11	kontrolna grupa	levoruk	400	101	1682
s12	kontrolna grupa	levoruk	170	101	1487
s13	kontrolna grupa	levoruk	50	102	1297
s14	kontrolna grupa	levoruk	60	104	1337
s15	kontrolna grupa	levoruk	280	104	1576
s16	kontrolna grupa	levoruk	370	105	1656
s17	kontrolna grupa	levoruk	490	105	1795
s18	kontrolna grupa	levoruk	430	107	1713
s19	kontrolna grupa	levoruk	300	108	1600
s20	kontrolna grupa	levoruk	500	109	1805
s21	kontrolna grupa	levoruk	520	110	1820
s22	kontrolna grupa	levoruk	310	111	1608
s23	kontrolna grupa	levoruk	570	114	1971
s24	kontrolna grupa	levoruk	590	115	2031
s25	kontrolna grupa	levoruk	480	116	1790
s26	kontrolna grupa	desnoruk	140	93	1436
s27	kontrolna grupa	desnoruk	100	95	1397
s28	kontrolna grupa	desnoruk	100	96	1408
s29	kontrolna grupa	desnoruk	150	96	1456
s30	kontrolna grupa	desnoruk	130	97	1435
s31	kontrolna grupa	desnoruk	200	97	1516
s32	kontrolna grupa	desnoruk	310	98	1602
s33	kontrolna grupa	desnoruk	360	99	1641
s34	kontrolna grupa	desnoruk	220	100	1523
s35	kontrolna grupa	desnoruk	50	101	1289
s36	kontrolna grupa	desnoruk	150	102	1472
s37	kontrolna grupa	desnoruk	190	102	1506
s38	kontrolna grupa	desnoruk	390	102	1669
s39	kontrolna grupa	desnoruk	470	104	1787
s40	kontrolna grupa	desnoruk	270	104	1546
s41	kontrolna grupa	desnoruk	250	105	1536
s42	kontrolna grupa	desnoruk	330	106	1614
s43	kontrolna grupa	desnoruk	330	108	1614
s44	kontrolna grupa	desnoruk	530	108	1839
s45	kontrolna grupa	desnoruk	550	110	1870
s46	kontrolna grupa	desnoruk	380	111	1659
s47	kontrolna grupa	desnoruk	560	113	1916
s48	kontrolna grupa	desnoruk	530	114	1845
s49	kontrolna grupa	desnoruk	500	116	1807
s50	kontrolna grupa	desnoruk	550	116	1907
s51	eksperimentalna grupa	levoruk	110	91	1408
s52	eksperimentalna grupa	levoruk	270	94	1543
s53	eksperimentalna grupa	levoruk	70	95	1362
s54	eksperimentalna grupa	levoruk	30	96	1165
s55	eksperimentalna grupa	levoruk	330	97	1611
s56	eksperimentalna grupa	levoruk	210	97	1519
s57	eksperimentalna grupa	levoruk	150	98	1457
s58	eksperimentalna grupa	levoruk	40	99	1261
s59	eksperimentalna grupa	levoruk	170	99	1482
s60	eksperimentalna grupa	levoruk	500	100	1795
s61	eksperimentalna grupa	levoruk	480	101	1787
s62	eksperimentalna grupa	levoruk	140	102	1454
s63	eksperimentalna grupa	levoruk	120	102	1430
s64	eksperimentalna grupa	levoruk	160	102	1476
s65	eksperimentalna grupa	levoruk	450	104	1723
s66	eksperimentalna grupa	levoruk	180	105	1504
s67	eksperimentalna grupa	levoruk	240	105	1535
s68	eksperimentalna grupa	levoruk	400	107	1685
s69	eksperimentalna grupa	levoruk	410	108	1691
s70	eksperimentalna grupa	levoruk	360	109	1642
s71	eksperimentalna grupa	levoruk	540	110	1867
s72	eksperimentalna grupa	levoruk	330	111	1625
s73	eksperimentalna grupa	levoruk	550	113	1889
s74	eksperimentalna grupa	levoruk	460	115	1773
s75	eksperimentalna grupa	levoruk	450	115	1732
s76	eksperimentalna grupa	desnoruk	70	93	1343
s77	eksperimentalna grupa	desnoruk	380	94	1658
s78	eksperimentalna grupa	desnoruk	170	95	1480
s79	eksperimentalna grupa	desnoruk	80	96	1384
s80	eksperimentalna grupa	desnoruk	50	96	1263
s81	eksperimentalna grupa	desnoruk	60	97	1332
s82	eksperimentalna grupa	desnoruk	120	98	1429
s83	eksperimentalna grupa	desnoruk	310	99	1603
s84	eksperimentalna grupa	desnoruk	350	100	1633
s85	eksperimentalna grupa	desnoruk	180	101	1495
s86	eksperimentalna grupa	desnoruk	300	101	1597
s87	eksperimentalna grupa	desnoruk	440	102	1715
s88	eksperimentalna grupa	desnoruk	110	102	1424
s89	eksperimentalna grupa	desnoruk	390	104	1679
s90	eksperimentalna grupa	desnoruk	290	104	1576
s91	eksperimentalna grupa	desnoruk	230	105	1530
s92	eksperimentalna grupa	desnoruk	440	106	1715
s93	eksperimentalna grupa	desnoruk	410	107	1685
s94	eksperimentalna grupa	desnoruk	420	108	1701
s95	eksperimentalna grupa	desnoruk	460	109	1756
s96	eksperimentalna grupa	desnoruk	270	110	1564
s97	eksperimentalna grupa	desnoruk	510	112	1814
s98	eksperimentalna grupa	desnoruk	580	114	1995
s99	eksperimentalna grupa	desnoruk	530	116	1861
s100	eksperimentalna grupa	desnoruk	580	116	2004
